date,dayofweek,visiting_team,v_game_number,home_team,h_game_number,v_score,h_score,LOG_inouts,LOG_minutes,v_AB,v_H,v_2B,v_3B,v_HR,v_RBI,v_SF,v_HBP,v_BB,v_K,v_SB,v_GIDP,v_LOB,v_pitchers_used,v_ER,v_def_assists,v_errors_def,v_doubleplays_def,h_AB,h_H,h_2B,h_3B,h_HR,h_RBI,h_SF,h_HBP,h_BB,h_K,h_SB,h_GIDP,h_LOB,h_pitchers_used,h_ER,h_def_assists,h_errors_def,h_doubleplays_def
20190320,Wed,SEA,1,OAK,1,9,7,54,204,31,7,1,0,2,9,1,2,6,10,2,0,5,5,6,11,1,2,35,9,3,0,3,7,0,0,3,8,0,2,4,7,9,4,0,0
20190321,Thu,SEA,2,OAK,2,5,4,72,267,43,9,4,0,2,5,1,2,5,9,1,1,10,7,3,12,1,1,46,10,1,0,0,3,0,0,6,10,0,1,12,8,5,8,0,1
20190328,Thu,PIT,1,CIN,1,3,5,51,174,31,5,0,0,1,3,0,0,7,11,0,0,9,3,5,6,2,0,31,6,3,0,2,5,0,0,3,8,0,0,5,6,3,8,0,0
20190328,Thu,ARI,1,LAD,1,5,12,51,169,33,9,4,0,2,5,2,0,0,10,0,1,3,2,12,7,0,0,35,12,1,0,8,12,0,0,3,3,0,0,3,3,5,8,0,1
20190328,Thu,COL,1,FLA,1,6,3,54,175,36,9,5,0,1,5,0,0,3,7,0,0,6,3,3,12,1,0,32,4,0,0,3,3,0,1,1,7,0,0,4,5,5,7,2,1
20190328,Thu,STL,1,MIL,1,4,5,51,156,32,5,0,0,3,4,0,0,2,11,0,0,3,4,5,13,0,1,30,7,0,0,3,5,0,0,2,5,0,1,3,3,4,5,0,0
20190328,Thu,ATL,1,PHI,1,4,10,51,184,30,7,1,0,1,4,0,0,6,9,1,1,5,5,10,8,2,0,31,7,0,0,3,10,0,0,6,9,0,0,3,4,4,13,0,2
20190328,Thu,SFG,1,SDP,1,0,2,51,138,30,5,0,0,0,0,0,0,1,5,0,0,4,2,2,7,0,2,27,6,1,0,1,2,0,0,1,9,0,2,2,5,0,10,0,0
20190328,Thu,NYM,1,WSN,1,2,0,54,164,31,5,0,0,1,2,0,0,3,12,0,0,5,4,0,5,0,1,31,5,1,0,0,0,0,1,1,14,3,0,6,4,2,9,0,0
20190328,Thu,CHW,1,KCR,1,3,5,51,192,31,4,0,0,0,3,0,1,4,5,0,0,6,4,4,6,3,0,31,5,1,2,0,4,1,1,3,7,2,0,7,6,3,10,0,0
20190328,Thu,CLE,1,MIN,1,0,2,51,138,29,2,1,0,0,0,0,0,1,13,0,0,3,4,2,4,0,0,28,4,2,0,0,2,0,2,1,6,0,0,5,2,0,4,0,0
20190328,Thu,BAL,1,NYY,1,2,7,51,186,34,8,1,0,0,2,0,0,1,9,0,0,6,4,7,10,0,2,29,9,1,0,2,6,1,1,8,8,0,2,8,4,1,9,1,0
