year,Team,vegas_win_total
2014,ARI,80.5
2014,ATL,87.5
2014,BAL,81.5
2014,BOS,88.0
2014,CHC,69.5
2014,CIN,84.5
2014,CLE,80.5
2014,COL,76.5
2014,CHW,76.5
2014,DET,90.0
2014,HOU,62.5
2014,KCR,82.5
2014,ANA,87.0
2014,LAD,94.0
2014,FLA,69.5
2014,MIL,80.0
2014,MIN,70.5
2014,NYM,74.0
2014,NYY,87.0
2014,OAK,88.5
2014,PHI,76.5
2014,PIT,84.5
2014,SDP,79.0
2014,SEA,81.0
2014,SFG,86.5
2014,STL,91.5
2014,TBD,88.0
2014,TEX,87.0
2014,TOR,80.5
2014,WSN,89.5
2015,ARI,71.5
2015,ATL,73.5
2015,BAL,82.5
2015,BOS,85.5
2015,CHC,82.5
2015,CIN,77.5
2015,CLE,84.5
2015,COL,71.5
2015,CHW,81.5
2015,DET,84.5
2015,HOU,74.5
2015,KCR,80.5
2015,ANA,88.5
2015,LAD,92.5
2015,FLA,81.5
2015,MIL,78.5
2015,MIN,71.5
2015,NYM,81.5
2015,NYY,81.5
2015,OAK,81.5
2015,PHI,68.5
2015,PIT,84.5
2015,SDP,84.5
2015,SEA,86.5
2015,SFG,84.5
2015,STL,88.5
2015,TBD,78.5
2015,TEX,77.5
2015,TOR,82.5
2015,WSN,93.5
2016,ARI,82.0
2016,ATL,67.0
2016,BAL,77.0
2016,BOS,87.5
2016,CHC,94.0
2016,CIN,72.0
2016,CLE,85.0
2016,COL,72.0
2016,CHW,81.0
2016,DET,81.0
2016,HOU,87.5
2016,KCR,84.0
2016,ANA,81.0
2016,LAD,90.0
2016,FLA,79.5
2016,MIL,71.0
2016,MIN,79.0
2016,NYM,89.0
2016,NYY,85.0
2016,OAK,75.5
2016,PHI,65.5
2016,PIT,86.0
2016,SDP,75.0
2016,SEA,83.0
2016,SFG,86.0
2016,STL,85.0
2016,TBD,81.5
2016,TEX,80.5
2016,TOR,86.0
2016,WSN,88.0
2017,ARI,77.5
2017,ATL,73.5
2017,BAL,80.5
2017,BOS,92.5
2017,CHC,95.5
2017,CIN,70.5
2017,CLE,92.5
2017,COL,80.5
2017,CHW,69.5
2017,DET,82.5
2017,HOU,89.5
2017,KCR,76.5
2017,ANA,79.5
2017,LAD,93.5
2017,FLA,76.5
2017,MIL,69.5
2017,MIN,74.5
2017,NYM,88.5
2017,NYY,82.5
2017,OAK,73.5
2017,PHI,73.5
2017,PIT,82.5
2017,SDP,66.5
2017,SEA,85.5
2017,SFG,87.5
2017,STL,86.0
2017,TBD,68.0
2017,TEX,95.0
2017,TOR,89.0
2017,WSN,95.0
2018,ARI,86.5
2018,ATL,73.5
2018,BAL,77.5
2018,BOS,91.5
2018,CHC,93.5
2018,CIN,71.5
2018,CLE,93.5
2018,COL,82.5
2018,CHW,68.5
2018,DET,68.5
2018,HOU,96.5
2018,KCR,76.5
2018,ANA,84.5
2018,LAD,95.5
2018,FLA,64.5
2018,MIL,81.5
2018,MIN,82.5
2018,NYM,80.5
2018,NYY,93.5
2018,OAK,74.5
2018,PHI,74.5
2018,PIT,76.5
2018,SDP,69.5
2018,SEA,81.5
2018,SFG,81.5
2018,STL,84.5
2018,TBD,76.5
2018,TEX,78.5
2018,TOR,81.5
2018,WSN,91.5
2019,ARI,77.0
2019,ATL,84.0
2019,BAL,59.0
2019,BOS,95.5
2019,CHC,89.0
2019,CIN,77.0
2019,CLE,91.5
2019,COL,82.0
2019,CHW,74.5
2019,DET,67.0
2019,HOU,97.5
2019,KCR,69.0
2019,ANA,83.5
2019,LAD,95.0
2019,FLA,65.5
2019,MIL,83.5
2019,MIN,84.0
2019,NYM,83.5
2019,NYY,94.5
2019,OAK,83.0
2019,PHI,83.0
2019,PIT,78.5
2019,SDP,77.5
2019,SEA,74.5
2019,SFG,73.0
2019,STL,88.5
2019,TBD,85.5
2019,TEX,70.5
2019,TOR,76.5
2019,WSN,88.5
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
